;0
Aatrox;-0,0003627569528415919
Ahri;-0,0010882708585247646
Akali;-0,0016928657799274104
Akshan;0,0
Alistar;-0,00024183796856105388
Amumu;1,1102230246251566e-17
Anivia;-0,00012091898428052694
Annie;0,002176541717049607
Aphelios;-0,0009673518742442377
Ashe;-0,0007255139056831728
AurelionSol;-0,00012091898428052694
Azir;0,002176541717049607
Bard;-0,0012091898428052694
Belveth;0,0010882708585248312
Blitzcrank;-0,0027811366384522087
Brand;0,0
Braum;-0,00024183796856105388
Caitlyn;0,003022974607013329
Camille;2,2204460492503132e-17
Cassiopeia;0,002418379685610672
Chogath;0,00024183796856107608
Corki;0,0
Darius;0,0
Diana;0,0
Draven;0,00036275695284162526
DrMundo;0,00024183796856107608
Ekko;-0,0012091898428052694
Elise;0,002055622732769091
Evelynn;0,0
Ezreal;-0,0012091898428052915
Fiddlesticks;0,0
Fiora;-0,0032648125755743384
Fizz;0,0
Galio;-0,00012091898428052694
Gangplank;0,00302297460701334
Garen;0,0
Gnar;0,001209189842805347
Gragas;-0,0014510278113663456
Graves;-0,0009673518742442155
Gwen;0,0007255139056832171
Hecarim;-0,00024183796856105388
Heimerdinger;0,00048367593712215216
Illaoi;0,0
Irelia;-0,00048367593712209664
Ivern;0,0
Janna;-0,0013301088270858074
JarvanIV;0,002781136638452264
Jax;-0,0010882708585247646
Jayce;0,00048367593712216327
Jhin;-0,00024183796856105388
Jinx;0,00012091898428056025
Kaisa;-0,0006045949214026347
Kalista;-0,0015719467956468946
Karma;-0,00012091898428050474
Karthus;0,0013301088270859073
Kassadin;1,1102230246251566e-17
Katarina;0,0
Kayle;0,0
Kayn;0,0
Kennen;-0,00012091898428049364
Khazix;0,0
Kindred;-0,0002418379685610428
Kled;-0,00012091898428051584
KogMaw;0,00012091898428053804
KSante;-0,005078597339782287
Leblanc;-0,0003627569528415919
LeeSin;-0,0025392986698911544
Leona;0,003748488512696546
Lillia;2,2204460492503132e-17
Lissandra;-0,0003627569528415808
Lucian;-0,0007255139056831728
Lulu;-0,0027811366384522308
Lux;-0,0006045949214026347
Malphite;-0,0012091898428052915
Malzahar;0,0
Maokai;0,003385731559854921
MasterYi;0,0
Milio;0,0
MissFortune;0,0
MonkeyKing;-0,0006045949214026014
Mordekaiser;-0,0013301088270858187
Morgana;0,0
Nami;0,0006045949214026902
Nasus;0,0
Nautilus;-0,0020556227327690026
Neeko;0,0
Nidalee;-0,00012091898428052694
Nilah;0,0
Nocturne;2,2204460492503132e-17
Nunu;-0,00012091898428052694
Olaf;0,00036275695284162526
Orianna;0,00024183796856107608
Ornn;-0,0006045949214026347
Pantheon;1,1102230246251566e-17
Poppy;-0,0012091898428052805
Pyke;-0,00012091898428052694
Qiyana;-0,0013301088270858074
Quinn;0,0
Rakan;0,004111245465538127
Rammus;0,0
RekSai;0,0
Rell;0,0
Renata;-0,0006045949214026237
Renekton;0,0012091898428053583
Rengar;0,0
Riven;0,0
Rumble;0,00012091898428053804
Ryze;0,0015719467956469614
Samira;0,0
Sejuani;-0,0025392986698911544
Senna;0,0013301088270859073
Seraphine;-0,00012091898428050474
Sett;0,0
Shaco;0,0
Shen;0,0
Shyvana;0,0
Singed;0,0
Sion;2,2204460492503132e-17
Sivir;-0,0029020556227327466
Skarner;0,0
Sona;-0,00024183796856105388
Soraka;0,0009673518742442933
Swain;0,00012091898428053804
Sylas;-0,00036275695284156975
Syndra;-0,00024183796856103168
TahmKench;0,002297460701330134
Taliyah;-0,0013301088270858297
Talon;0,0
Taric;0,0
Teemo;0,0
Thresh;0,002297460701330134
Tristana;0,00012091898428053804
Trundle;-0,0012091898428052915
Tryndamere;-0,00012091898428052694
TwistedFate;-0,00036275695284156975
Twitch;1,1102230246251566e-17
Udyr;0,002781136638452275
Urgot;0,0
Varus;0,00036275695284162526
Vayne;0,0
Veigar;-0,0002418379685610428
Velkoz;0,0
Vex;0,0
Vi;-0,009310761789600908
Viego;0,004836759371221322
Viktor;0,0002418379685611094
Vladimir;0,0
Volibear;-0,00012091898428052694
Warwick;0,0
Xayah;0,012454655380894842
Xerath;0,0
XinZhao;-0,0007255139056831506
Yasuo;0,00012091898428054915
Yone;0,0010882708585248202
Yorick;0,0
Yuumi;-0,0020556227327690134
Zac;0,0002418379685610872
Zed;0,0
Zeri;-0,0033857315598548655
Ziggs;1,1102230246251566e-17
Zilean;0,0
Zoe;-0,00012091898428052694
Zyra;0,0
top_blue_champwr;-0,004111245465538049
jng_blue_champwr;0,0007255139056832393
mid_blue_champwr;-0,011608222490931042
bot_blue_champwr;0,007859733978234617
sup_blue_champwr;0,0009673518742442933
top_red_champwr;-0,00640870616686815
jng_red_champwr;-0,007859733978234551
mid_red_champwr;-0,0007255139056831395
bot_red_champwr;-0,006771463119709742
sup_red_champwr;-0,011729141475211568
